AF246223	Mycoplasma_phage_P1
MK080312	Salmonella_phage_Astrid
MH834597	Arthrobacter_phage_Atraxa
MPU46938	Mycobacterium_phage_DS6A
PQ425461	Streptococcus_phage_vBSeqZ-LmqsRe26-3
MK801723	Gordonia_phage_Coeur
AP013057	Edwardsiella_phage_PEi21
AJ251789	Lactobacillus_phage_A2
MT701586	Burkholderia_phage_Mica
KF148055	Salmonella_phage_Jersey
KP790011	Gordonia_phage_Gsput1
KY290954	Aeromonas_phage_56
MK473373	Pseudomonas_phage_Lana
KU599877	Flavobacterium_phage_Fpv1
HM997019	Salmonella_phage_7-11
KJ567043	Mycobacterium_phage_Gaia
MH590603	Gordonia_phage_Daredevil
MT028297	Proteus_phage_Privateer
JN593240	Escherichia_phage_Cba120
GQ357915	Delftia_phage_PhiW-14
KU577463	Bacillus_phage_Deep_Blue
MN045230	Klebsiella_phage_Magnus
FJ373894	Shigella_phage_Ag3
KU873925	Pseudomonas_phage_pf16
MH588547	Caulobacter_phage_CcrSC
MT708547	Klebsiella_phage_Muenster
KC295538	Escherichia_phage_PBECO4
MW879342	Erwinia_phage_pEa_SNUABM_19
JN882285	Cronobacter_phage_vB_CsaM_GAP32
MF403008	Agrobacterium_phage_Atu_ph07
MK554696	Fusobacterium_phage_Fnu1
MT863714	Campylobacter_phage_F207
MT932329	Campylobacter_phage_F379
MF360957	Bacillus_phage_PBS1
MH999279	Clostridium_phage_CPD2
KU160646	Arthrobacter_phage_Gordon
PV052267	Salmonella_phage_SE123_1NRH
KM199770	Rhizobium_phage_vB_RleM_P10VF
LR595866	Escherichia_phage_2G7b
KF806589	Erwinia_phage_Ea35-70
PP110484	Synechococcus_phage_MA01
MH727560	Corynebacterium_phage_SamW
MH045556	Microbacterium_phage_BonaeVitae
MH834629	Arthrobacter_phage_Yang
MH271296	Gordonia_phage_Emperor
MN103533	Mycobacterium_phage_Weirdo19
KY092480	Streptomyces_phage_Picard
